day,channel_type,num_posts
2021-02-04 00:00:00-08,chat,1823
2021-02-04 00:00:00-08,publish,16
2021-02-03 00:00:00-08,chat,2205
2021-02-03 00:00:00-08,publish,20
2021-02-03 00:00:00-08,link,9
2021-02-02 00:00:00-08,publish,20
2021-02-02 00:00:00-08,chat,2206
2021-02-02 00:00:00-08,link,19
2021-02-01 00:00:00-08,link,4
2021-02-01 00:00:00-08,publish,20
2021-02-01 00:00:00-08,chat,2355
2021-01-31 00:00:00-08,link,4
2021-01-31 00:00:00-08,chat,1536
2021-01-31 00:00:00-08,publish,21
2021-01-30 00:00:00-08,link,5
2021-01-30 00:00:00-08,publish,27
2021-01-30 00:00:00-08,chat,1445
2021-01-29 00:00:00-08,publish,38
2021-01-29 00:00:00-08,chat,3148
2021-01-29 00:00:00-08,link,9
2021-01-28 00:00:00-08,publish,43
2021-01-28 00:00:00-08,link,17
2021-01-28 00:00:00-08,chat,2788
2021-01-27 00:00:00-08,chat,3251
2021-01-27 00:00:00-08,link,2
2021-01-27 00:00:00-08,publish,23
2021-01-26 00:00:00-08,link,5
2021-01-26 00:00:00-08,chat,2954
2021-01-26 00:00:00-08,publish,54
2021-01-25 00:00:00-08,chat,2885
2021-01-25 00:00:00-08,publish,47
2021-01-25 00:00:00-08,link,4
2021-01-24 00:00:00-08,publish,22
2021-01-24 00:00:00-08,link,3
2021-01-24 00:00:00-08,chat,2036
2021-01-23 00:00:00-08,chat,1461
2021-01-23 00:00:00-08,publish,17
2021-01-22 00:00:00-08,chat,2435
2021-01-22 00:00:00-08,publish,33
2021-01-22 00:00:00-08,link,2
2021-01-21 00:00:00-08,chat,2425
2021-01-21 00:00:00-08,link,4
2021-01-21 00:00:00-08,publish,55
2021-01-20 00:00:00-08,link,2
2021-01-20 00:00:00-08,publish,40
2021-01-20 00:00:00-08,chat,2300
2021-01-19 00:00:00-08,chat,1857
2021-01-19 00:00:00-08,publish,26
2021-01-19 00:00:00-08,link,4
2021-01-18 00:00:00-08,publish,34
2021-01-18 00:00:00-08,link,5
2021-01-18 00:00:00-08,chat,2456
2021-01-17 00:00:00-08,chat,2008
2021-01-17 00:00:00-08,link,1
2021-01-17 00:00:00-08,publish,39
2021-01-16 00:00:00-08,link,1
2021-01-16 00:00:00-08,chat,1557
2021-01-16 00:00:00-08,publish,27
2021-01-15 00:00:00-08,link,2
2021-01-15 00:00:00-08,chat,2358
2021-01-15 00:00:00-08,publish,15
2021-01-14 00:00:00-08,chat,2309
2021-01-14 00:00:00-08,publish,25
2021-01-14 00:00:00-08,link,1
2021-01-13 00:00:00-08,publish,23
2021-01-13 00:00:00-08,link,7
2021-01-13 00:00:00-08,chat,2161
2021-01-12 00:00:00-08,link,4
2021-01-12 00:00:00-08,publish,23
2021-01-12 00:00:00-08,chat,3189
2021-01-11 00:00:00-08,chat,2347
2021-01-11 00:00:00-08,publish,25
2021-01-11 00:00:00-08,link,1
2021-01-10 00:00:00-08,chat,2396
2021-01-10 00:00:00-08,link,1
2021-01-10 00:00:00-08,publish,11
2021-01-09 00:00:00-08,chat,1530
2021-01-09 00:00:00-08,publish,22
2021-01-08 00:00:00-08,chat,2383
2021-01-08 00:00:00-08,publish,12
2021-01-08 00:00:00-08,link,5
2021-01-07 00:00:00-08,chat,1849
2021-01-07 00:00:00-08,publish,21
2021-01-06 00:00:00-08,link,8
2021-01-06 00:00:00-08,publish,3
2021-01-06 00:00:00-08,chat,1889
2021-01-05 00:00:00-08,chat,1621
2021-01-05 00:00:00-08,publish,5
2021-01-05 00:00:00-08,link,3
2021-01-04 00:00:00-08,publish,2
2021-01-04 00:00:00-08,chat,1212
2021-01-04 00:00:00-08,link,3
2021-01-03 00:00:00-08,chat,593
2021-01-03 00:00:00-08,link,4
2021-01-03 00:00:00-08,publish,3
2021-01-02 00:00:00-08,publish,6
2021-01-02 00:00:00-08,chat,556
2021-01-01 00:00:00-08,chat,631
2021-01-01 00:00:00-08,publish,11
2020-12-31 00:00:00-08,chat,293
2020-12-31 00:00:00-08,link,2
