day,channel_type,num_posts
2021-07-12 00:00:00-07,post,11
2021-07-12 00:00:00-07,publish,6
2021-07-12 00:00:00-07,chat,1277
2021-07-11 00:00:00-07,link,4
2021-07-11 00:00:00-07,chat,1541
2021-07-11 00:00:00-07,publish,9
2021-07-11 00:00:00-07,post,3
2021-07-10 00:00:00-07,link,16
2021-07-10 00:00:00-07,chat,877
2021-07-10 00:00:00-07,post,2
2021-07-10 00:00:00-07,publish,9
2021-07-09 00:00:00-07,link,8
2021-07-09 00:00:00-07,publish,26
2021-07-09 00:00:00-07,post,4
2021-07-09 00:00:00-07,chat,1210
2021-07-08 00:00:00-07,chat,1064
2021-07-08 00:00:00-07,publish,9
2021-07-08 00:00:00-07,link,20
2021-07-08 00:00:00-07,post,2
2021-07-07 00:00:00-07,link,17
2021-07-07 00:00:00-07,post,10
2021-07-07 00:00:00-07,publish,10
2021-07-07 00:00:00-07,chat,1667
2021-07-06 00:00:00-07,chat,1439
2021-07-06 00:00:00-07,link,6
2021-07-06 00:00:00-07,publish,19
2021-07-06 00:00:00-07,post,1
2021-07-05 00:00:00-07,publish,13
2021-07-05 00:00:00-07,chat,652
2021-07-05 00:00:00-07,link,7
2021-07-04 00:00:00-07,chat,1006
2021-07-04 00:00:00-07,publish,4
2021-07-04 00:00:00-07,link,2
2021-07-03 00:00:00-07,post,5
2021-07-03 00:00:00-07,chat,1146
2021-07-03 00:00:00-07,publish,5
2021-07-03 00:00:00-07,link,5
2021-07-02 00:00:00-07,post,24
2021-07-02 00:00:00-07,publish,6
2021-07-02 00:00:00-07,link,10
2021-07-02 00:00:00-07,chat,1759
2021-07-01 00:00:00-07,link,16
2021-07-01 00:00:00-07,post,7
2021-07-01 00:00:00-07,publish,6
2021-07-01 00:00:00-07,chat,2192
2021-06-30 00:00:00-07,chat,1828
2021-06-30 00:00:00-07,link,10
2021-06-30 00:00:00-07,publish,6
2021-06-30 00:00:00-07,post,3
2021-06-29 00:00:00-07,chat,2018
2021-06-29 00:00:00-07,post,2
2021-06-29 00:00:00-07,publish,20
2021-06-29 00:00:00-07,link,21
2021-06-28 00:00:00-07,chat,1831
2021-06-28 00:00:00-07,link,7
2021-06-28 00:00:00-07,publish,27
2021-06-28 00:00:00-07,post,11
2021-06-27 00:00:00-07,publish,9
2021-06-27 00:00:00-07,link,5
